genes,module,IntraModCon,MMpurple,padj.MMpurple,GS.DWVa,pdj.GS.DWVa,GS.VDV2,pdj.GS.VDV2,GS.ARV_2,pdj.GS.ARV_2,
111244970,purple,10.30232245,0.827723226,2.98E-16,-0.473950577,0.00160192,-0.468234815,0.001937445,-0.133769359,0.610189616,
111245869,purple,10.89960384,0.826138872,3.86E-16,-0.554383336,7.35E-05,-0.306156141,0.099732498,-0.076302293,0.807227585,
111248682,purple,9.560573939,0.822333195,7.06E-16,-0.428299602,0.006620619,-0.116622238,0.672123203,-0.181856647,0.436336316,
111249363,purple,9.934230827,0.816217998,1.81E-15,-0.413084679,0.010110313,-0.217046196,0.316394191,-0.308844635,0.095394623,
111246031,purple,11.08403602,0.801822581,1.45E-14,-0.262937124,0.186345036,0.186842266,0.418748696,-0.022878565,0.937791865,
111242912,purple,9.427958039,0.801192271,1.58E-14,-0.541042845,1.29E-04,-0.256420076,0.20235166,0.010987721,0.970457563,
111246604,purple,9.432231332,0.800533943,1.73E-14,-0.345431887,0.049388825,-0.15340254,0.539540332,0.143934372,0.572855401,
111247170,purple,9.449817977,0.799870986,1.90E-14,-0.494085971,7.95E-04,-0.037945049,0.898992125,-0.265646353,0.179747316,
111246371,purple,9.443495794,0.798035512,2.44E-14,-0.364685563,0.033098066,-0.113812581,0.681426614,-0.023823893,0.935084667,
111254713,purple,10.38825529,0.797631039,2.57E-14,-0.572264506,3.31E-05,0.01224835,0.966586667,-0.264234647,0.18326236,
111245348,purple,9.496537739,0.797501715,2.62E-14,-0.495070849,7.68E-04,0.182391433,0.434254672,-0.239010933,0.249452941,
111251059,purple,7.702257184,0.782281825,1.88E-13,-0.277549947,0.153311074,-0.415060041,0.00958214,-0.333157806,0.06257732,chl
111249147,purple,9.642313883,0.780809035,2.25E-13,-0.339917796,0.054969843,0.263643638,0.184652218,-0.172071386,0.471423969,
111253022,purple,7.291044974,0.780533775,2.33E-13,-0.363512738,0.033946729,-0.139589495,0.588935921,0.341724416,0.053066615,
111249796,purple,7.97769573,0.780301501,2.40E-13,-0.398838494,0.014751303,-0.538747483,1.42E-04,-0.010370461,0.972212575,
111255194,purple,8.402216751,0.779421321,2.67E-13,-0.374357109,0.026651073,-0.149623338,0.552974131,0.01854008,0.949570392,
111247655,purple,6.66255217,0.776426244,3.83E-13,-0.378059898,0.024483774,-0.114587502,0.678615623,-0.053739479,0.857952006,
111248360,purple,6.913413016,0.773036955,5.75E-13,-0.218550607,0.311417534,-0.128436972,0.629977521,-0.274909793,0.15901977,cup8
111251861,purple,8.704033261,0.768495325,9.76E-13,-0.50760645,4.80E-04,-0.385274991,0.02062367,-0.061889369,0.840002558,
111246910,purple,6.475845549,0.765975659,1.30E-12,-0.392655454,0.017233766,-0.135050881,0.605406653,0.328444778,0.068099251,
111253325,purple,5.623428817,0.75991466,2.58E-12,-0.363981476,0.033605272,0.165337959,0.495955141,-0.105671757,0.708524394,
111248989,purple,6.378404806,0.756612212,3.70E-12,-0.332568366,0.063213772,-0.350347044,0.044654608,-0.02260927,0.938399869,
111247069,purple,8.128604063,0.755590603,4.14E-12,-0.321851413,0.076493552,0.233864413,0.263952483,-0.420190259,0.008316048,
111247581,purple,5.097128031,0.752109085,6.03E-12,-0.296702677,0.115947633,0.188335164,0.413274287,-0.039188504,0.896684151,
111243721,purple,6.577839222,0.751407083,6.50E-12,-0.506406733,5.04E-04,-0.038649966,0.897847456,0.197133987,0.382526563,
111250207,purple,6.004353538,0.751133182,6.69E-12,-0.55774246,6.36E-05,-0.060271692,0.844091777,0.089788207,0.764475552,
111252575,purple,7.927618185,0.743495136,1.49E-11,-0.189957546,0.407860001,0.252100094,0.213485231,-0.259299231,0.195192244,
111246370,purple,7.327870282,0.738271762,2.52E-11,-0.38183096,0.022384526,0.312898393,0.089255369,-0.123506197,0.647698212,
111251975,purple,7.722399705,0.737952999,2.60E-11,-0.383969203,0.021238018,-0.462159193,0.002363012,0.074507045,0.811817485,
111244631,purple,6.884393983,0.737938776,2.61E-11,-0.190734053,0.405271129,-0.224681739,0.292001698,-0.103046825,0.718289678,twitch
111250987,purple,6.965338358,0.728609841,6.49E-11,-0.572175705,3.32E-05,-0.364169516,0.033472452,-0.156254629,0.529507631,
111254819,purple,5.934672591,0.721930695,1.22E-10,-0.470666764,0.00178577,-0.114711601,0.678144714,0.030900118,0.915469219,
111244234,purple,5.722002476,0.720466998,1.40E-10,-0.30476942,0.10192079,-0.264655553,0.182247661,-0.112365244,0.685709848,
111249664,purple,4.572970805,0.718465045,1.68E-10,-0.319444424,0.079614752,-0.233374342,0.26543284,-0.297626337,0.114374587,hdd
111243113,purple,5.589757379,0.707071225,4.61E-10,-0.490381657,9.06E-04,-0.149301873,0.554030911,0.105922459,0.707708943,
111248023,purple,5.318440965,0.692282659,1.60E-09,-0.497818429,6.92E-04,-0.188336427,0.413274287,0.036859166,0.90115751,
111252308,purple,5.066956715,0.691964904,1.65E-09,-0.472960832,0.001655032,-0.045653471,0.881810894,0.044992938,0.883603461,
111247357,purple,3.109820713,0.690452933,1.86E-09,-0.205680001,0.353592774,-0.406423331,0.01206297,-0.18561457,0.423103393,
111244468,purple,4.598215227,0.690051606,1.93E-09,-0.37554308,0.025939712,-0.160129995,0.515226289,-0.138847038,0.591714415,
111247031,purple,4.078798171,0.688072821,2.26E-09,-0.409764569,0.011039549,-0.034358656,0.906432444,-0.147846412,0.55919502,
111254253,purple,6.323250844,0.682452264,3.52E-09,-0.422033695,0.00789536,-0.035433876,0.904071141,-0.446599344,0.00385071,
111249702,purple,6.253105007,0.671921176,7.92E-09,-0.092007392,0.756988532,0.122600727,0.650976863,-0.091847773,0.757562335,
111253518,purple,5.879828338,0.670955524,8.52E-09,-0.408170746,0.011515079,0.141276683,0.582696978,-0.408952046,0.011283451,
111253826,purple,3.576019051,0.670663489,8.71E-09,-0.34331401,0.051491312,-0.338749791,0.05615559,-0.181727405,0.436720591,
111250656,purple,5.707916043,0.660557376,1.83E-08,-0.153262902,0.540040682,-0.052408339,0.862033741,-0.045536473,0.882066166,
111249283,purple,2.73072768,0.658791015,2.07E-08,-0.391296912,0.01784884,0.095859263,0.743123215,0.13682201,0.599051253,
111244186,purple,3.858146107,0.657954515,2.20E-08,-0.074744045,0.811182262,0.008115957,0.978366439,-0.033391916,0.908941839,
111247275,purple,5.451300125,0.65674975,2.40E-08,-0.313463353,0.088385046,0.084357434,0.782352298,-0.32132523,0.077182619,
111243360,purple,4.182331644,0.654183607,2.87E-08,-0.53129513,1.91E-04,-0.251356932,0.215389504,-0.069418683,0.820644846,
111246587,purple,3.947947558,0.652169007,3.30E-08,-0.084211759,0.782822738,-0.103190239,0.717651324,0.154749529,0.535079495,
111250478,purple,3.084109538,0.652000493,3.34E-08,-0.514093039,3.74E-04,-0.074536292,0.811758553,-0.299234488,0.111466853,
111245345,purple,3.514977808,0.604178755,7.04E-07,-0.199374848,0.374887894,-0.045008413,0.883582308,0.36762918,0.030959093,cup14
111245727,purple,2.498472123,0.593877955,1.27E-06,-0.218258733,0.312317263,0.008510514,0.977318335,0.082789316,0.787219962,
111248700,purple,2.711446374,0.593015323,1.34E-06,-0.396642899,0.015577136,-0.040256581,0.894860776,0.022554973,0.938516546,
111251787,purple,3.151314932,0.589425812,1.63E-06,-0.155721138,0.531485348,-0.106975809,0.703897142,0.411540778,0.010522021,
111255303,purple,1.67121507,0.572932722,3.97E-06,-0.332287828,0.063514772,0.17935734,0.445164808,0.263821371,0.184257848,
111246338,purple,3.669810809,0.522388075,4.50E-05,0.002541818,0.993349598,0.27450711,0.159818378,-0.238228038,0.251695851,
